filename,batch_idx,image_idx,has_tumor_pred,tumor_pixels,num_clusters,resolution_w,resolution_h,resolution_area
1754216107.5628252.png,6,1,True,671,11,400,489,195600
1754216107.868257.png,6,2,True,310,6,400,489,195600
1754216108.2144072.png,6,3,True,87,4,400,489,195600
1754216108.5244296.png,6,4,True,692,2,400,426,170400
1754216108.817383.png,6,5,True,533,8,400,489,195600
1754216109.146453.png,6,6,True,271,11,400,489,195600
1754216109.4603434.png,6,7,True,1034,35,400,804,321600
1754216109.8150485.png,7,0,True,449,12,400,865,346000
1754216110.140576.png,7,1,True,1635,47,400,502,200800
1754216110.4502566.png,7,2,True,122,2,400,928,371200
1754216110.829539.png,7,3,True,427,10,400,426,170400
1754216111.1167903.png,7,4,True,2687,8,400,426,170400
1754216111.410882.png,7,5,True,219,4,400,426,170400
1754216111.699306.png,7,6,True,1119,21,400,991,396400
1754216112.0394104.png,7,7,True,413,4,400,426,170400
1754216112.3862097.png,8,0,True,502,17,400,489,195600
1754216112.6952357.png,8,1,True,1984,23,400,489,195600
1754216112.9660978.png,8,2,True,421,3,400,426,170400
1754216113.394311.png,8,3,True,1049,26,400,489,195600
1754216113.751964.png,8,4,True,149,5,400,426,170400
1754216114.0673034.png,8,5,True,342,2,400,489,195600
1754216114.351077.png,8,6,True,437,7,400,489,195600
1754216114.6585023.png,8,7,True,313,6,400,426,170400
1754216114.944706.png,9,0,True,134,1,400,489,195600
1754216115.2594469.png,9,1,True,405,8,400,489,195600
1754216115.587387.png,9,2,True,603,15,400,489,195600
1754216115.8945174.png,9,3,True,1859,18,400,426,170400
1754216116.2065182.png,9,4,True,1274,27,400,489,195600
1754216116.5447094.png,9,5,True,1017,14,400,489,195600
1754216116.8528464.png,9,6,True,662,2,400,489,195600
1754216117.2075639.png,9,7,True,2177,20,400,489,195600
1754216117.4937508.png,10,0,True,179,16,400,463,185200
1754216117.798313.png,10,1,True,34,1,400,489,195600
1754216118.0789425.png,10,2,True,931,3,400,426,170400
1754216118.3858716.png,10,3,True,324,14,400,489,195600
1754216118.6721416.png,10,4,True,504,6,400,363,145200
1754216118.9623325.png,10,5,True,620,9,400,489,195600
1754216119.2234282.png,10,6,True,65,5,400,426,170400
1754216119.5199924.png,10,7,True,190,5,400,489,195600
1754216119.8099484.png,11,0,True,108,4,400,489,195600
1754216120.1882386.png,11,1,True,516,7,400,489,195600
1754216120.5030072.png,11,2,True,119,4,400,865,346000
1754216120.844985.png,11,3,True,571,4,400,426,170400
1754216121.0970838.png,11,4,True,106,6,400,426,170400
1754216121.4083946.png,11,5,True,164,5,400,489,195600
1754216121.7373497.png,11,6,True,358,6,400,426,170400
1754216122.1266026.png,11,7,True,420,12,400,426,170400
1754216122.4270527.png,12,0,True,878,25,400,426,170400
1754216122.748035.png,12,1,True,202,5,400,426,170400
1754216123.03964.png,12,2,True,148,9,400,426,170400
1754216123.3483098.png,12,3,True,378,7,400,676,270400
